2025-03-05 23:54:22,541 INFO    MainThread:8596 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-03-05 23:54:22,542 INFO    MainThread:8596 [wandb_setup.py:_flush():79] Configure stats pid to 8596
2025-03-05 23:54:22,542 INFO    MainThread:8596 [wandb_setup.py:_flush():79] Loading settings from C:\Users\admin.DESKTOP-7USASVH\.config\wandb\settings
2025-03-05 23:54:22,542 INFO    MainThread:8596 [wandb_setup.py:_flush():79] Loading settings from D:\Git\Over-estimate\wandb\settings
2025-03-05 23:54:22,542 INFO    MainThread:8596 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-03-05 23:54:22,542 INFO    MainThread:8596 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-03-05 23:54:22,543 INFO    MainThread:8596 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'run.py', 'program_abspath': 'd:\\Git\\Over-estimate\\run.py', 'program': 'd:\\Git\\Over-estimate\\run.py'}
2025-03-05 23:54:22,543 INFO    MainThread:8596 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-03-05 23:54:22,543 INFO    MainThread:8596 [wandb_init.py:_log_setup():533] Logging user logs to D:\Git\Over-estimate\wandb\run-20250305_235422-kiv4n7as\logs\debug.log
2025-03-05 23:54:22,543 INFO    MainThread:8596 [wandb_init.py:_log_setup():534] Logging internal logs to D:\Git\Over-estimate\wandb\run-20250305_235422-kiv4n7as\logs\debug-internal.log
2025-03-05 23:54:22,543 INFO    MainThread:8596 [wandb_init.py:init():619] calling init triggers
2025-03-05 23:54:22,543 INFO    MainThread:8596 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'method': 'ncdm', 'data_type': 'real', 'test_size': 0.2, 'epoch': 10, 'seed': 0, 'dtype': torch.float64, 'device': 'cpu', 'latent_dim': 32, 'batch_size': 256, 'lr': 0.0005, 'if_type': 'ncdm', 'weight_decay': None, 'name': 'ncdm-real-seed0'}
2025-03-05 23:54:22,544 INFO    MainThread:8596 [wandb_init.py:init():669] starting backend
2025-03-05 23:54:22,544 INFO    MainThread:8596 [wandb_init.py:init():673] sending inform_init request
2025-03-05 23:54:22,544 INFO    MainThread:8596 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-03-05 23:54:22,548 INFO    MainThread:8596 [wandb_init.py:init():686] backend started and connected
2025-03-05 23:54:22,554 INFO    MainThread:8596 [wandb_init.py:init():781] updated telemetry
2025-03-05 23:54:22,555 INFO    MainThread:8596 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-03-05 23:54:23,422 INFO    MainThread:8596 [wandb_init.py:init():867] starting run threads in backend
2025-03-05 23:54:23,724 INFO    MainThread:8596 [wandb_run.py:_console_start():2456] atexit reg
2025-03-05 23:54:23,724 INFO    MainThread:8596 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-03-05 23:54:23,725 INFO    MainThread:8596 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-03-05 23:54:23,725 INFO    MainThread:8596 [wandb_run.py:_redirect():2395] Redirects installed.
2025-03-05 23:54:23,730 INFO    MainThread:8596 [wandb_init.py:init():911] run started, returning control to user process
2025-03-05 23:54:26,857 WARNING MsgRouterThr:8596 [router.py:message_loop():75] message_loop has been closed
